Team,OBP,SLG,wRC+,G,PA
ATL,0.332,0.447,106.7,44,1672
LAD,0.342,0.433,107.2,44,1680
TB,0.33,0.375,99.0,42,1603
HOU,0.33,0.418,103.4,45,1727
ATH,0.328,0.406,101.8,43,1658
PIT,0.337,0.391,101.9,45,1744
COL,0.316,0.398,98.8,44,1657
TOR,0.311,0.375,95.5,44,1618
MIL,0.336,0.359,98.5,41,1592
CHC,0.34,0.403,103.7,44,1725
MIA,0.322,0.371,97.1,44,1643
WSH,0.322,0.408,100.9,45,1711
DET,0.325,0.389,99.5,45,1662
STL,0.322,0.391,99.2,43,1657
KC,0.319,0.389,98.4,44,1649
SF,0.288,0.362,90.0,44,1607
MIN,0.325,0.385,99.1,44,1688
BOS,0.313,0.354,93.7,43,1610
NYY,0.33,0.433,104.9,44,1656
AZ,0.299,0.387,94.5,42,1539
CWS,0.324,0.397,100.2,43,1636
PHI,0.299,0.389,94.7,45,1660
TEX,0.313,0.369,95.3,43,1600
SEA,0.322,0.386,98.7,45,1709
LAA,0.319,0.386,98.1,44,1673
BAL,0.315,0.377,96.5,45,1650
CLE,0.322,0.365,96.5,45,1689
NYM,0.292,0.349,89.4,43,1595
CIN,0.31,0.389,96.8,44,1670
SD,0.294,0.365,91.4,43,1579
