Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.86,3.73,0.0968,0.2418,2.99,45
NYY,3.45,3.41,0.0829,0.2402,3.19,45
LAD,3.53,3.49,0.0795,0.2497,3.29,45
MIL,3.32,3.32,0.0955,0.2632,3.32,42
TB,4.03,3.95,0.0844,0.2067,3.48,43
SEA,3.65,3.64,0.0669,0.2293,3.58,46
TEX,3.95,3.9,0.0884,0.2305,3.6,44
BOS,4.18,4.11,0.0843,0.2211,3.74,44
NYM,3.54,3.58,0.0924,0.2487,3.78,44
CHC,4.23,4.17,0.0824,0.2223,3.8,45
PIT,3.66,3.68,0.092,0.2296,3.81,45
CLE,4.0,3.98,0.0909,0.2469,3.88,46
DET,3.82,3.85,0.0935,0.2218,4.02,45
SF,4.19,4.17,0.1014,0.2111,4.03,45
SD,3.58,3.65,0.0876,0.2348,4.04,44
TOR,3.69,3.75,0.0839,0.2384,4.1,44
STL,4.46,4.43,0.0985,0.187,4.24,44
MIA,3.9,3.95,0.1002,0.2229,4.24,45
ATH,4.67,4.62,0.1067,0.2012,4.31,44
AZ,4.32,4.32,0.0844,0.1974,4.35,43
CWS,4.39,4.38,0.1067,0.207,4.35,44
KC,4.38,4.38,0.115,0.2254,4.38,45
PHI,3.6,3.72,0.0758,0.245,4.41,45
MIN,4.13,4.17,0.0949,0.198,4.43,45
BAL,4.37,4.4,0.0972,0.2128,4.58,45
LAA,4.33,4.37,0.1167,0.2185,4.59,45
CIN,4.88,4.84,0.1182,0.1959,4.64,45
COL,4.68,4.72,0.0864,0.1923,4.93,45
WSH,4.98,4.98,0.0978,0.1907,4.95,45
HOU,5.02,5.09,0.128,0.219,5.47,46
