game_pk,game_date,season,home_abbr,away_abbr,home_runs,away_runs
778557,2025-03-27,2025,NYY,MIL,4,2
778556,2025-03-27,2025,TOR,BAL,2,12
778553,2025-03-27,2025,TEX,BOS,2,5
778555,2025-03-27,2025,WSH,PHI,3,7
778558,2025-03-27,2025,KC,CLE,4,7
778559,2025-03-27,2025,HOU,NYM,3,1
778561,2025-03-27,2025,CIN,SF,4,6
778545,2025-03-27,2025,SD,ATL,7,4
778554,2025-03-27,2025,CWS,LAA,8,1
778562,2025-03-27,2025,MIA,PIT,5,4
778551,2025-03-27,2025,STL,MIN,5,3
778546,2025-03-27,2025,LAD,DET,5,4
778552,2025-03-27,2025,AZ,CHC,6,10
778547,2025-03-27,2025,SEA,ATH,4,2
778560,2025-03-28,2025,TB,COL,3,2
778549,2025-03-28,2025,TOR,BAL,8,2
778548,2025-03-28,2025,MIA,PIT,3,4
778550,2025-03-28,2025,TEX,BOS,4,1
778518,2025-03-28,2025,HOU,NYM,1,3
778543,2025-03-28,2025,AZ,CHC,8,1
778541,2025-03-28,2025,SEA,ATH,0,7
778542,2025-03-28,2025,SD,ATL,4,3
778544,2025-03-28,2025,LAD,DET,8,5
778538,2025-03-29,2025,NYY,MIL,20,9
778534,2025-03-29,2025,CWS,LAA,0,1
778528,2025-03-29,2025,STL,MIN,5,1
778536,2025-03-29,2025,TOR,BAL,5,9
778535,2025-03-29,2025,WSH,PHI,6,11
778529,2025-03-29,2025,KC,CLE,4,3
778540,2025-03-29,2025,CIN,SF,3,2
778537,2025-03-29,2025,TB,COL,1,2
778539,2025-03-29,2025,MIA,PIT,5,4
778531,2025-03-29,2025,TEX,BOS,4,3
778530,2025-03-29,2025,HOU,NYM,2,1
778520,2025-03-29,2025,SD,ATL,1,0
778532,2025-03-29,2025,AZ,CHC,3,4
778533,2025-03-29,2025,LAD,DET,7,3
778521,2025-03-29,2025,SEA,ATH,2,4
778526,2025-03-30,2025,WSH,PHI,5,1
778523,2025-03-30,2025,NYY,MIL,12,3
778525,2025-03-30,2025,TOR,BAL,3,1
778522,2025-03-30,2025,CIN,SF,3,6
778524,2025-03-30,2025,TB,COL,6,4
778519,2025-03-30,2025,MIA,PIT,3,2
778510,2025-03-30,2025,KC,CLE,2,6
778527,2025-03-30,2025,CWS,LAA,2,3
778517,2025-03-30,2025,STL,MIN,9,2
778516,2025-03-30,2025,TEX,BOS,3,2
778515,2025-03-30,2025,AZ,CHC,10,6
778513,2025-03-30,2025,SEA,ATH,2,1
778514,2025-03-30,2025,SD,ATL,5,0
778506,2025-03-31,2025,CWS,MIN,9,0
778504,2025-03-31,2025,MIL,KC,1,11
778512,2025-03-31,2025,BAL,BOS,8,5
778502,2025-03-31,2025,PHI,COL,6,1
778511,2025-03-31,2025,CIN,TEX,14,3
778509,2025-03-31,2025,MIA,NYM,4,10
778508,2025-03-31,2025,TB,PIT,6,1
778507,2025-03-31,2025,TOR,WSH,5,2
778503,2025-03-31,2025,STL,LAA,4,5
778505,2025-03-31,2025,HOU,SF,2,7
778499,2025-03-31,2025,SD,CLE,7,2
778496,2025-03-31,2025,SEA,DET,6,9
778501,2025-03-31,2025,ATH,CHC,3,18
778500,2025-03-31,2025,LAD,ATL,6,1
778498,2025-04-01,2025,CIN,TEX,0,1
778497,2025-04-01,2025,MIA,NYM,4,2
778493,2025-04-01,2025,TB,PIT,7,0
778492,2025-04-01,2025,NYY,AZ,5,7
778491,2025-04-01,2025,TOR,WSH,5,3
778490,2025-04-01,2025,CWS,MIN,3,8
778488,2025-04-01,2025,MIL,KC,5,0
778495,2025-04-01,2025,STL,LAA,7,9
778489,2025-04-01,2025,HOU,SF,1,3
778485,2025-04-01,2025,SD,CLE,7,0
778486,2025-04-01,2025,SEA,DET,1,4
778494,2025-04-01,2025,ATH,CHC,4,7
778487,2025-04-01,2025,LAD,ATL,3,1
778480,2025-04-02,2025,CIN,TEX,0,1
778479,2025-04-02,2025,TB,PIT,2,4
778477,2025-04-02,2025,MIL,KC,3,2
778473,2025-04-02,2025,STL,LAA,12,5
778474,2025-04-02,2025,CWS,MIN,1,6
778478,2025-04-02,2025,TOR,WSH,4,2
778471,2025-04-02,2025,ATH,CHC,2,10
778476,2025-04-02,2025,SD,CLE,5,2
778469,2025-04-02,2025,SEA,DET,3,2
778475,2025-04-02,2025,HOU,SF,3,6
778481,2025-04-02,2025,MIA,NYM,5,6
778483,2025-04-02,2025,BAL,BOS,0,3
778482,2025-04-02,2025,PHI,COL,5,1
778484,2025-04-02,2025,NYY,AZ,3,4
778472,2025-04-02,2025,LAD,ATL,6,5
778470,2025-04-03,2025,BAL,BOS,4,8
778467,2025-04-03,2025,PHI,COL,3,1
778462,2025-04-03,2025,MIN,HOU,2,5
778466,2025-04-03,2025,NYY,AZ,9,7
778468,2025-04-03,2025,MIL,CIN,1,0
778458,2025-04-04,2025,DET,CWS,7,4
778463,2025-04-04,2025,BOS,STL,13,9
778460,2025-04-04,2025,CHC,SD,3,1
778465,2025-04-04,2025,NYM,TOR,5,0
778456,2025-04-04,2025,COL,ATH,3,6
778461,2025-04-04,2025,PIT,NYY,4,9
778444,2025-04-04,2025,SF,SEA,10,9
778457,2025-04-04,2025,WSH,AZ,4,6
778459,2025-04-04,2025,PHI,LAD,3,2
778464,2025-04-04,2025,ATL,MIA,10,0
778455,2025-04-04,2025,KC,BAL,8,2
778454,2025-04-04,2025,TEX,TB,5,2
778453,2025-04-04,2025,MIL,CIN,3,2
778447,2025-04-04,2025,LAA,CLE,6,8
778445,2025-04-05,2025,DET,CWS,7,2
778440,2025-04-05,2025,MIN,HOU,6,1
778450,2025-04-05,2025,CHC,SD,7,1
778452,2025-04-05,2025,WSH,AZ,4,3
778448,2025-04-05,2025,PHI,LAD,1,3
778449,2025-04-05,2025,PIT,NYY,4,10
778441,2025-04-05,2025,KC,BAL,1,8
778438,2025-04-05,2025,TEX,TB,6,4
778446,2025-04-05,2025,NYM,TOR,3,2
778439,2025-04-05,2025,MIL,CIN,7,11
778451,2025-04-05,2025,ATL,MIA,0,4
778442,2025-04-05,2025,COL,ATH,4,7
778436,2025-04-05,2025,SF,SEA,4,1
778437,2025-04-05,2025,LAA,CLE,10,4
778429,2025-04-06,2025,WSH,AZ,5,4
778443,2025-04-06,2025,BOS,STL,5,4
778432,2025-04-06,2025,BOS,STL,18,7
778434,2025-04-06,2025,PHI,LAD,8,7
778428,2025-04-06,2025,PIT,NYY,5,4
778435,2025-04-06,2025,NYM,TOR,2,1
778433,2025-04-06,2025,DET,CWS,4,3
778422,2025-04-06,2025,KC,BAL,4,1
778419,2025-04-06,2025,MIN,HOU,7,9
778421,2025-04-06,2025,MIL,CIN,8,2
778430,2025-04-06,2025,CHC,SD,7,8
778420,2025-04-06,2025,TEX,TB,4,3
778423,2025-04-06,2025,COL,ATH,12,5
778427,2025-04-06,2025,SF,SEA,5,4
778425,2025-04-06,2025,LAA,CLE,6,2
778424,2025-04-07,2025,DET,NYY,6,2
778415,2025-04-07,2025,PIT,STL,8,4
778418,2025-04-07,2025,WSH,LAD,6,4
778426,2025-04-07,2025,BOS,TOR,2,6
778416,2025-04-07,2025,NYM,MIA,2,0
778411,2025-04-07,2025,CHC,TEX,7,0
778412,2025-04-07,2025,KC,MIN,4,2
778413,2025-04-07,2025,AZ,BAL,1,5
778405,2025-04-07,2025,SEA,HOU,4,3
778410,2025-04-07,2025,SF,CIN,0,2
778414,2025-04-07,2025,ATH,SD,4,5
778403,2025-04-08,2025,DET,NYY,5,0
778402,2025-04-08,2025,CLE,CWS,1,0
778407,2025-04-08,2025,NYM,MIA,10,5
778408,2025-04-08,2025,PIT,STL,3,5
778409,2025-04-08,2025,WSH,LAD,8,2
778404,2025-04-08,2025,BOS,TOR,1,6
778417,2025-04-08,2025,TB,LAA,3,4
778406,2025-04-08,2025,ATL,PHI,7,5
778401,2025-04-08,2025,CHC,TEX,10,6
778400,2025-04-08,2025,KC,MIN,2,1
778394,2025-04-08,2025,COL,MIL,1,7
778396,2025-04-08,2025,AZ,BAL,4,3
778398,2025-04-08,2025,SEA,HOU,1,2
778397,2025-04-08,2025,SF,CIN,0,1
778395,2025-04-08,2025,ATH,SD,10,4
778389,2025-04-09,2025,PIT,STL,2,1
778390,2025-04-09,2025,NYM,MIA,0,5
778387,2025-04-09,2025,DET,NYY,3,4
778385,2025-04-09,2025,CHC,TEX,2,6
778381,2025-04-09,2025,ATH,SD,1,2
778380,2025-04-09,2025,AZ,BAL,9,0
778376,2025-04-09,2025,SF,CIN,8,6
778392,2025-04-09,2025,WSH,LAD,5,6
778383,2025-04-09,2025,SEA,HOU,7,6
