Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.84,3.71,0.0966,0.2424,2.98,46
NYY,3.44,3.4,0.0829,0.2402,3.19,46
LAD,3.53,3.49,0.0795,0.2497,3.29,45
MIL,3.31,3.31,0.0952,0.2632,3.31,43
SEA,3.64,3.63,0.0667,0.2295,3.58,47
TB,4.0,3.94,0.0839,0.2071,3.6,44
TEX,4.0,3.95,0.0881,0.2311,3.64,45
BOS,4.2,4.13,0.0841,0.2212,3.76,45
NYM,3.52,3.56,0.0923,0.2488,3.77,45
PIT,3.67,3.7,0.0942,0.2302,3.84,46
CLE,4.01,3.99,0.091,0.2465,3.85,47
CHC,4.26,4.2,0.0827,0.2215,3.86,46
DET,3.81,3.83,0.0922,0.2208,3.94,46
TOR,3.65,3.71,0.0832,0.2413,4.02,45
SF,4.19,4.17,0.1014,0.2111,4.03,45
SD,3.57,3.64,0.0875,0.2347,4.04,45
MIA,3.85,3.9,0.0994,0.2225,4.18,46
STL,4.46,4.42,0.0982,0.1843,4.19,45
ATH,4.66,4.61,0.1067,0.2012,4.31,44
PHI,3.51,3.63,0.0744,0.2479,4.31,46
CWS,4.37,4.37,0.1065,0.2072,4.34,45
AZ,4.27,4.28,0.0832,0.1974,4.35,44
KC,4.34,4.35,0.1135,0.2235,4.38,46
MIN,4.11,4.16,0.0947,0.1987,4.42,46
LAA,4.33,4.37,0.1167,0.2185,4.59,45
CIN,4.86,4.83,0.1175,0.195,4.64,46
BAL,4.44,4.49,0.0971,0.2104,4.77,46
COL,4.66,4.69,0.0873,0.1903,4.86,46
WSH,4.95,4.94,0.0969,0.1933,4.9,46
HOU,5.0,5.07,0.1278,0.2197,5.45,47
