game_pk,game_date,season,home_abbr,away_abbr,home_runs,away_runs
745444,2024-03-20,2024,SD,LAD,2,5
746175,2024-03-21,2024,LAD,SD,11,15
747060,2024-03-28,2024,BAL,LAA,11,3
746737,2024-03-28,2024,CIN,WSH,8,2
745445,2024-03-28,2024,SD,SF,6,4
746165,2024-03-28,2024,LAD,STL,7,1
745116,2024-03-28,2024,TB,TOR,2,8
746335,2024-03-28,2024,KC,MIN,1,4
746821,2024-03-28,2024,CWS,DET,0,1
746089,2024-03-28,2024,MIA,PIT,5,6
746418,2024-03-28,2024,HOU,NYY,4,5
745039,2024-03-28,2024,TEX,CHC,4,3
745687,2024-03-28,2024,OAK,CLE,0,8
747224,2024-03-28,2024,AZ,COL,16,1
745283,2024-03-28,2024,SEA,BOS,4,6
745848,2024-03-29,2024,NYM,MIL,1,3
745604,2024-03-29,2024,PHI,ATL,3,9
745117,2024-03-29,2024,TB,TOR,8,2
746091,2024-03-29,2024,MIA,PIT,2,7
746412,2024-03-29,2024,HOU,NYY,1,7
747223,2024-03-29,2024,AZ,COL,7,3
745682,2024-03-29,2024,OAK,CLE,4,6
745276,2024-03-29,2024,SEA,BOS,1,0
745435,2024-03-29,2024,SD,SF,3,8
746167,2024-03-29,2024,LAD,STL,6,3
745850,2024-03-30,2024,NYM,MIL,6,7
746818,2024-03-30,2024,CWS,DET,6,7
747063,2024-03-30,2024,BAL,LAA,13,4
745599,2024-03-30,2024,PHI,ATL,4,12
745684,2024-03-30,2024,OAK,CLE,3,12
746736,2024-03-30,2024,CIN,WSH,6,7
745119,2024-03-30,2024,TB,TOR,5,1
746333,2024-03-30,2024,KC,MIN,1,5
746087,2024-03-30,2024,MIA,PIT,3,9
745037,2024-03-30,2024,TEX,CHC,11,2
745436,2024-03-30,2024,SD,SF,6,9
746410,2024-03-30,2024,HOU,NYY,3,5
747221,2024-03-30,2024,AZ,COL,4,9
746168,2024-03-30,2024,LAD,STL,5,6
745278,2024-03-30,2024,SEA,BOS,4,3
747062,2024-03-31,2024,BAL,LAA,1,4
745602,2024-03-31,2024,PHI,ATL,5,4
746739,2024-03-31,2024,CIN,WSH,6,5
745115,2024-03-31,2024,TB,TOR,2,9
746090,2024-03-31,2024,MIA,PIT,7,9
745845,2024-03-31,2024,NYM,MIL,1,4
746332,2024-03-31,2024,KC,MIN,11,0
746815,2024-03-31,2024,CWS,DET,2,3
746413,2024-03-31,2024,HOU,NYY,3,4
745035,2024-03-31,2024,TEX,CHC,5,9
745683,2024-03-31,2024,OAK,CLE,4,3
747222,2024-03-31,2024,AZ,COL,5,1
745279,2024-03-31,2024,SEA,BOS,1,5
745438,2024-03-31,2024,SD,SF,13,4
746166,2024-03-31,2024,LAD,STL,5,4
746817,2024-04-01,2024,CWS,ATL,0,9
746899,2024-04-01,2024,CHC,COL,5,0
744875,2024-04-01,2024,WSH,PIT,4,8
747058,2024-04-01,2024,BAL,KC,6,4
745600,2024-04-01,2024,PHI,CIN,3,6
746085,2024-04-01,2024,MIA,LAA,4,7
745109,2024-04-01,2024,TB,TEX,3,9
745842,2024-04-01,2024,NYM,DET,0,5
746409,2024-04-01,2024,HOU,TOR,10,0
745675,2024-04-01,2024,OAK,BOS,0,9
745277,2024-04-01,2024,SEA,CLE,5,4
745437,2024-04-01,2024,SD,STL,2,6
747218,2024-04-01,2024,AZ,NYY,2,5
746170,2024-04-01,2024,LAD,SF,8,3
746009,2024-04-02,2024,MIL,MIN,3,2
747057,2024-04-02,2024,BAL,KC,1,4
745598,2024-04-02,2024,PHI,CIN,9,4
746086,2024-04-02,2024,MIA,LAA,1,3
745111,2024-04-02,2024,TB,TEX,5,2
746898,2024-04-02,2024,CHC,COL,12,2
746814,2024-04-02,2024,CWS,ATL,3,2
746411,2024-04-02,2024,HOU,TOR,1,2
745680,2024-04-02,2024,OAK,BOS,4,5
745273,2024-04-02,2024,SEA,CLE,2,5
745439,2024-04-02,2024,SD,STL,2,5
747220,2024-04-02,2024,AZ,NYY,7,0
746169,2024-04-02,2024,LAD,SF,5,4
747059,2024-04-03,2024,BAL,KC,4,3
745114,2024-04-03,2024,TB,TEX,1,4
746083,2024-04-03,2024,MIA,LAA,2,10
746008,2024-04-03,2024,MIL,MIN,3,7
745678,2024-04-03,2024,OAK,BOS,0,1
747219,2024-04-03,2024,AZ,NYY,5,6
745603,2024-04-03,2024,PHI,CIN,1,4
745275,2024-04-03,2024,SEA,CLE,0,8
745440,2024-04-03,2024,SD,STL,3,2
744869,2024-04-03,2024,WSH,PIT,5,3
746900,2024-04-03,2024,CHC,COL,9,8
746407,2024-04-03,2024,HOU,TOR,8,0
746163,2024-04-03,2024,LAD,SF,5,4
745844,2024-04-04,2024,NYM,DET,3,6
