home_team_abbr,wind_speed,wind_deg,wind_encoded
PIT,8.05,240,-4.03
CIN,6.91,200,-6.49
NYM,52.99,0,52.99
MIN,16.11,280,2.8
MIL,13.8,190,-13.59
HOU,16.11,180,-16.11
ATH,0.0,0,0.0
BOS,5.75,60,2.88
ATL,5.75,210,-4.98
CWS,14.97,190,-14.74
LAD,10.36,250,-3.54
