home_team_abbr,wind_speed,wind_deg,wind_encoded
CLE,17.27,320,13.23
BAL,13.8,290,4.72
CIN,16.11,340,15.14
PIT,12.66,330,10.96
BOS,8.05,170,-7.93
TOR,17.27,340,16.23
NYM,6.91,180,-6.91
ATL,17.27,280,3.0
CWS,4.0,61,1.94
MIN,24.16,160,-22.7
MIL,7.0,70,2.39
TEX,11.5,180,-11.5
HOU,9.22,160,-8.66
ATH,0.0,0,0.0
LAD,4.61,0,4.61
