Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.9,3.79,0.0947,0.2393,3.14,41
NYY,3.5,3.45,0.0838,0.238,3.14,41
LAD,3.52,3.48,0.0787,0.2479,3.27,40
MIL,3.45,3.45,0.0995,0.2601,3.43,38
TB,3.99,3.91,0.0829,0.207,3.44,39
TEX,3.98,3.93,0.0857,0.2347,3.65,40
PIT,3.65,3.66,0.0956,0.2331,3.73,41
SEA,3.78,3.78,0.0653,0.2276,3.78,41
CHC,4.2,4.14,0.0851,0.2223,3.81,41
NYM,3.53,3.58,0.0921,0.2474,3.85,40
DET,3.75,3.77,0.0937,0.2256,3.9,41
CLE,4.08,4.06,0.0908,0.2462,3.94,42
BOS,4.3,4.25,0.0882,0.2126,4.0,40
SF,4.16,4.14,0.1034,0.2128,4.06,40
MIA,3.81,3.85,0.0981,0.2201,4.06,41
SD,3.67,3.73,0.087,0.2343,4.07,40
TOR,3.73,3.78,0.0818,0.2406,4.08,40
CWS,4.41,4.38,0.1077,0.2102,4.24,40
STL,4.43,4.4,0.0976,0.1881,4.25,40
KC,4.31,4.3,0.115,0.2242,4.27,41
ATH,4.69,4.65,0.1113,0.2052,4.42,40
AZ,4.42,4.43,0.0895,0.1953,4.5,39
CIN,4.78,4.74,0.118,0.1938,4.52,41
LAA,4.24,4.29,0.1153,0.2231,4.56,41
PHI,3.58,3.73,0.0783,0.2449,4.57,41
MIN,4.3,4.35,0.0978,0.197,4.63,41
BAL,4.37,4.43,0.0949,0.2135,4.74,41
WSH,5.02,4.99,0.0962,0.1876,4.82,41
COL,4.77,4.78,0.0852,0.1957,4.84,41
HOU,5.01,5.09,0.1298,0.2244,5.57,41
