Team,OBP,SLG,wRC+,G,PA
ATL,0.334,0.45,107.4,41,1574
LAD,0.344,0.434,107.6,41,1573
HOU,0.333,0.425,104.7,42,1611
TB,0.328,0.376,98.8,40,1513
CHC,0.347,0.417,106.4,41,1621
COL,0.32,0.399,99.6,41,1554
ATH,0.326,0.4,100.8,40,1545
PIT,0.337,0.39,101.8,41,1632
TOR,0.311,0.38,96.0,41,1533
MIA,0.327,0.378,98.8,41,1537
SF,0.292,0.364,90.9,41,1502
WSH,0.323,0.399,100.2,41,1586
DET,0.324,0.39,99.4,41,1544
KC,0.319,0.391,98.6,41,1533
MIL,0.333,0.353,97.3,38,1479
NYY,0.331,0.44,105.8,42,1586
MIN,0.325,0.383,98.9,41,1576
PHI,0.303,0.396,96.2,41,1551
STL,0.318,0.388,98.1,40,1535
AZ,0.297,0.389,94.4,40,1459
BOS,0.314,0.353,93.8,40,1508
LAA,0.321,0.387,98.6,42,1601
TEX,0.314,0.365,95.1,41,1526
CWS,0.322,0.391,99.2,40,1527
BAL,0.317,0.38,97.1,42,1575
CLE,0.323,0.367,96.9,43,1625
SEA,0.317,0.376,96.7,42,1579
SD,0.297,0.37,92.4,40,1470
NYM,0.287,0.341,87.6,40,1474
CIN,0.305,0.381,95.0,41,1542
