Team,FIP,xFIP,BB%,K%,ERA,G
LAD,3.54,3.46,0.0817,0.2688,3.01,162
SF,3.54,3.5,0.0693,0.2374,3.24,162
MIL,3.71,3.68,0.0896,0.2701,3.5,162
TB,3.79,3.77,0.0727,0.2464,3.67,162
CWS,3.73,3.73,0.0828,0.2709,3.73,162
NYY,3.9,3.88,0.082,0.2615,3.74,162
HOU,4.12,4.07,0.0906,0.2403,3.78,162
ATL,4.08,4.05,0.0868,0.2384,3.88,161
NYM,4.03,4.01,0.0821,0.2512,3.9,162
TOR,4.18,4.14,0.08,0.2481,3.91,162
MIA,4.01,4.0,0.0878,0.2291,3.96,162
STL,4.3,4.25,0.1006,0.2026,3.98,162
OAK,4.09,4.08,0.0724,0.2198,4.02,162
SD,4.17,4.16,0.0852,0.2505,4.1,162
BOS,3.94,3.99,0.0888,0.2484,4.26,162
SEA,4.25,4.26,0.0794,0.2175,4.3,162
DET,4.59,4.55,0.0926,0.2043,4.32,162
CLE,4.42,4.41,0.0875,0.2331,4.34,162
PHI,4.14,4.18,0.0841,0.2444,4.39,162
CIN,4.33,4.34,0.0995,0.2458,4.4,162
KC,4.38,4.42,0.0965,0.2194,4.64,162
LAA,4.25,4.32,0.0955,0.2345,4.69,162
TEX,4.75,4.76,0.0841,0.203,4.79,162
WSH,4.87,4.86,0.0902,0.2216,4.8,162
COL,4.46,4.51,0.0892,0.21,4.82,161
MIN,4.65,4.68,0.0796,0.2166,4.83,162
CHC,4.88,4.88,0.0961,0.219,4.87,162
PIT,4.74,4.79,0.0987,0.2137,5.08,162
AZ,4.88,4.91,0.0885,0.1974,5.11,162
BAL,5.15,5.25,0.0901,0.1974,5.84,162
