Team,FIP,xFIP,BB%,K%,ERA,G
LAD,3.44,3.34,0.0694,0.2498,2.8,162
HOU,3.28,3.22,0.0782,0.2602,2.9,162
NYY,3.55,3.51,0.0748,0.2457,3.3,162
TB,3.68,3.64,0.0648,0.2334,3.41,162
ATL,3.45,3.45,0.0829,0.2577,3.46,162
CLE,3.75,3.71,0.0726,0.2321,3.46,162
NYM,3.5,3.51,0.0719,0.263,3.57,162
SEA,3.9,3.85,0.0747,0.2324,3.59,162
LAA,3.95,3.92,0.0894,0.229,3.77,162
STL,3.94,3.92,0.0813,0.1957,3.79,162
SD,3.81,3.81,0.0774,0.24,3.81,162
MIL,3.92,3.91,0.086,0.2526,3.83,162
SF,3.42,3.48,0.0727,0.2257,3.85,162
MIA,3.9,3.9,0.0844,0.2373,3.87,162
TOR,3.84,3.84,0.07,0.2296,3.87,162
CWS,3.8,3.82,0.0867,0.236,3.92,162
BAL,4.02,4.01,0.0731,0.2004,3.97,162
PHI,3.59,3.65,0.0771,0.2369,3.97,162
MIN,4.03,4.02,0.0775,0.2211,3.98,162
CHC,4.33,4.28,0.0876,0.2244,4.0,162
DET,4.15,4.13,0.0845,0.1976,4.04,162
TEX,4.17,4.18,0.0942,0.2131,4.22,162
AZ,4.32,4.31,0.0831,0.2005,4.25,162
OAK,4.41,4.43,0.0822,0.1965,4.52,162
BOS,4.16,4.22,0.0853,0.2183,4.53,162
PIT,4.27,4.33,0.0936,0.1996,4.66,162
KC,4.41,4.45,0.0943,0.1906,4.7,162
CIN,4.59,4.63,0.0984,0.2273,4.86,162
WSH,4.97,4.97,0.0897,0.1961,5.0,162
COL,4.38,4.48,0.0864,0.1902,5.06,162
