Team,FIP,xFIP,BB%,K%,ERA,G
TEX,3.85,3.79,0.0779,0.2262,3.47,162
MIL,3.88,3.83,0.0884,0.237,3.58,162
SD,3.98,3.93,0.0894,0.2383,3.63,162
CLE,3.92,3.89,0.087,0.2281,3.7,162
BOS,3.94,3.9,0.0862,0.2213,3.7,162
KC,3.97,3.93,0.0797,0.2119,3.73,162
PIT,3.8,3.79,0.0791,0.2197,3.76,162
PHI,3.67,3.69,0.0722,0.2441,3.79,162
CHC,4.12,4.07,0.0686,0.2143,3.79,162
SF,3.71,3.73,0.083,0.2228,3.82,162
HOU,3.99,3.97,0.0841,0.249,3.86,162
CIN,4.07,4.04,0.0819,0.2287,3.86,162
SEA,3.94,3.93,0.074,0.2325,3.87,162
NYY,3.96,3.95,0.0916,0.2368,3.91,162
TB,4.12,4.09,0.0795,0.2376,3.94,162
DET,4.01,4.0,0.0804,0.2279,3.95,162
LAD,3.9,3.91,0.0926,0.2477,3.95,162
NYM,3.85,3.88,0.0904,0.2254,4.03,162
TOR,4.23,4.22,0.0849,0.2348,4.19,162
CWS,4.43,4.4,0.0972,0.21,4.26,162
STL,4.02,4.06,0.0753,0.1975,4.29,162
ATL,4.16,4.19,0.0867,0.2315,4.36,162
AZ,4.24,4.28,0.0809,0.2083,4.49,162
MIN,4.05,4.12,0.075,0.2243,4.55,162
MIA,4.3,4.34,0.082,0.2092,4.6,162
BAL,4.38,4.41,0.0848,0.2191,4.6,162
ATH,4.62,4.63,0.0915,0.2123,4.7,162
LAA,4.75,4.77,0.0991,0.2046,4.89,162
WSH,4.68,4.78,0.09,0.1985,5.35,162
COL,5.2,5.32,0.087,0.1717,5.97,162
