Team,OBP,SLG,wRC+,G,PA
ATL,0.334,0.453,107.7,43,1638
LAD,0.342,0.433,107.2,43,1645
TB,0.33,0.375,99.0,42,1603
HOU,0.331,0.42,103.8,45,1691
PIT,0.338,0.393,102.3,44,1731
ATH,0.327,0.404,101.4,42,1618
COL,0.316,0.399,98.9,44,1644
TOR,0.311,0.375,95.5,43,1615
CHC,0.342,0.406,104.4,43,1689
MIA,0.323,0.374,97.6,44,1617
MIL,0.335,0.357,98.1,41,1561
DET,0.326,0.39,99.8,44,1644
SF,0.29,0.366,90.7,43,1574
WSH,0.323,0.411,101.4,44,1698
KC,0.319,0.392,98.7,43,1612
STL,0.321,0.387,98.6,42,1616
MIN,0.325,0.387,99.3,44,1661
BOS,0.313,0.354,93.7,42,1573
NYY,0.33,0.433,104.9,44,1656
AZ,0.299,0.387,94.5,42,1539
TEX,0.314,0.37,95.6,43,1600
CWS,0.323,0.396,99.9,42,1602
PHI,0.299,0.39,94.8,43,1617
LAA,0.319,0.386,98.1,44,1673
SEA,0.321,0.383,98.2,45,1673
BAL,0.315,0.378,96.6,44,1647
CLE,0.322,0.365,96.5,45,1689
NYM,0.29,0.342,88.3,43,1573
SD,0.295,0.368,91.9,43,1550
CIN,0.308,0.384,95.9,44,1653
