home_team_abbr,wind_speed,wind_deg,wind_encoded
PIT,3.87,170,-3.81
WSH,4.61,180,-4.61
DET,8.05,200,-7.56
CLE,11.5,150,-9.96
TB,9.22,70,3.15
MIN,0.0,0,0.0
ATL,0.0,0,0.0
NYM,5.75,210,-4.98
CWS,14.97,200,-14.07
HOU,10.36,150,-8.97
STL,8.05,180,-8.05
COL,4.61,290,1.58
LAA,6.91,210,-5.98
SEA,12.66,170,-12.47
ATH,0.0,0,0.0
