Team,OBP,SLG,wRC+,G,PA
TOR,0.329,0.431,104.6,162,6158
NYM,0.332,0.412,103.2,162,6176
BOS,0.321,0.409,100.8,162,6144
LAD,0.333,0.442,106.4,162,6247
CWS,0.31,0.387,96.6,162,6123
COL,0.315,0.398,98.6,162,6105
CLE,0.316,0.383,97.3,162,6163
PHI,0.317,0.422,101.4,162,6077
ATL,0.317,0.443,103.6,162,6082
STL,0.325,0.42,102.7,162,6165
WSH,0.31,0.377,95.5,162,5998
HOU,0.319,0.424,102.0,162,6054
MIN,0.317,0.401,99.3,162,6113
KC,0.306,0.38,95.1,162,6010
NYY,0.325,0.426,103.3,162,6172
SD,0.318,0.382,97.5,162,6175
TB,0.309,0.377,95.4,162,6008
TEX,0.301,0.395,95.7,162,6029
CHC,0.311,0.387,96.8,162,6072
BAL,0.305,0.39,96.0,162,6049
CIN,0.304,0.372,93.9,162,5978
MIL,0.315,0.409,99.7,162,6122
SF,0.315,0.389,97.7,162,6117
LAA,0.297,0.39,94.5,162,5977
DET,0.286,0.346,88.0,162,5870
AZ,0.304,0.385,95.3,162,6027
MIA,0.294,0.363,91.2,162,5949
SEA,0.315,0.39,97.8,162,6117
PIT,0.291,0.364,90.7,162,5912
OAK,0.281,0.346,87.0,162,5863
