Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.9,3.79,0.0947,0.2393,3.14,41
NYY,3.49,3.44,0.0841,0.2405,3.15,42
LAD,3.57,3.55,0.0802,0.2448,3.42,41
MIL,3.44,3.44,0.0995,0.2601,3.43,38
TB,4.0,3.92,0.0823,0.2088,3.48,40
TEX,3.93,3.88,0.085,0.2346,3.59,41
SEA,3.71,3.71,0.0656,0.2304,3.71,42
PIT,3.65,3.66,0.0956,0.2331,3.73,41
CHC,4.2,4.14,0.0851,0.2223,3.81,41
NYM,3.53,3.58,0.0921,0.2474,3.85,40
CLE,4.03,4.01,0.0904,0.2456,3.89,43
DET,3.75,3.77,0.0937,0.2256,3.9,41
BOS,4.3,4.25,0.0882,0.2126,4.0,40
SF,4.14,4.12,0.1022,0.2121,4.03,41
MIA,3.81,3.85,0.0981,0.2201,4.06,41
SD,3.67,3.73,0.087,0.2343,4.07,40
TOR,3.73,3.79,0.0803,0.2389,4.16,41
CWS,4.4,4.38,0.1077,0.2102,4.24,40
STL,4.43,4.4,0.0976,0.1881,4.25,40
KC,4.3,4.3,0.115,0.2242,4.27,41
AZ,4.36,4.36,0.0883,0.1959,4.38,40
ATH,4.69,4.65,0.1113,0.2052,4.42,40
CIN,4.77,4.73,0.118,0.1938,4.52,41
PHI,3.58,3.73,0.0783,0.2449,4.57,41
MIN,4.3,4.35,0.0978,0.197,4.63,41
LAA,4.27,4.32,0.1185,0.2199,4.63,42
BAL,4.35,4.4,0.0947,0.2145,4.68,42
WSH,5.02,4.99,0.0962,0.1876,4.82,41
COL,4.77,4.78,0.0852,0.1957,4.84,41
HOU,4.97,5.05,0.1277,0.224,5.5,42
