Team,OBP,SLG,wRC+,G,PA
SD,0.324,0.42,102.5,162,6103
AZ,0.337,0.44,106.9,162,6284
HOU,0.322,0.418,101.9,161,6107
LAD,0.335,0.446,107.2,162,6255
PHI,0.325,0.425,103.2,162,6166
BOS,0.319,0.423,101.9,162,6192
BAL,0.315,0.435,102.4,162,6176
MIL,0.326,0.403,101.1,162,6170
NYY,0.333,0.429,105.1,162,6245
KC,0.306,0.403,97.5,162,5982
STL,0.312,0.392,97.4,162,6114
NYM,0.319,0.415,101.1,162,6166
MIN,0.315,0.411,99.9,162,6123
MIA,0.3,0.378,93.8,162,6048
ATL,0.309,0.415,99.2,162,6075
WSH,0.309,0.375,95.2,162,5971
CHC,0.317,0.393,98.5,162,6116
COL,0.304,0.4,96.8,162,6026
TOR,0.313,0.389,97.3,162,6060
SF,0.305,0.396,96.6,162,6062
TEX,0.305,0.38,94.9,162,6053
CLE,0.307,0.395,96.8,161,5927
PIT,0.301,0.371,93.3,162,6086
DET,0.3,0.385,94.5,162,6021
OAK,0.301,0.393,95.5,162,6034
CIN,0.305,0.388,95.7,162,5970
TB,0.302,0.366,92.9,162,6006
LAA,0.301,0.369,93.1,162,5975
SEA,0.311,0.376,95.6,162,6067
CWS,0.278,0.34,85.9,162,5869
