game_pk,game_date,season,home_abbr,away_abbr,home_runs,away_runs
718780,2023-03-30,2023,WSH,ATL,2,7
718781,2023-03-30,2023,NYY,SF,5,0
718782,2023-03-30,2023,BOS,BAL,9,10
718777,2023-03-30,2023,CHC,MIL,4,0
718776,2023-03-30,2023,TB,DET,4,0
718779,2023-03-30,2023,TEX,PHI,11,7
718773,2023-03-30,2023,CIN,PIT,4,5
718772,2023-03-30,2023,STL,TOR,9,10
718775,2023-03-30,2023,KC,MIN,0,2
718774,2023-03-30,2023,MIA,NYM,3,5
718768,2023-03-30,2023,HOU,CWS,2,3
718778,2023-03-30,2023,SD,COL,2,7
718769,2023-03-30,2023,OAK,LAA,2,1
718770,2023-03-30,2023,LAD,AZ,8,2
718767,2023-03-30,2023,SEA,CLE,3,0
718771,2023-03-31,2023,MIA,NYM,2,1
718764,2023-03-31,2023,HOU,CWS,6,3
718766,2023-03-31,2023,SD,COL,1,4
718765,2023-03-31,2023,LAD,AZ,1,2
718763,2023-03-31,2023,SEA,CLE,4,9
718760,2023-04-01,2023,HOU,CWS,6,4
718759,2023-04-01,2023,STL,TOR,4,1
718758,2023-04-01,2023,CHC,MIL,1,3
718752,2023-04-01,2023,TEX,PHI,16,3
718753,2023-04-01,2023,WSH,ATL,1,7
718762,2023-04-01,2023,NYY,SF,5,7
718757,2023-04-01,2023,OAK,LAA,1,13
718761,2023-04-01,2023,BOS,BAL,9,8
718756,2023-04-01,2023,CIN,PIT,6,2
718754,2023-04-01,2023,TB,DET,12,2
718751,2023-04-01,2023,KC,MIN,0,2
718755,2023-04-01,2023,MIA,NYM,2,6
718750,2023-04-01,2023,SD,COL,8,4
718749,2023-04-01,2023,LAD,AZ,10,1
718746,2023-04-01,2023,SEA,CLE,0,2
718742,2023-04-02,2023,TB,DET,5,1
718748,2023-04-02,2023,BOS,BAL,9,5
718743,2023-04-02,2023,WSH,ATL,4,1
718747,2023-04-02,2023,NYY,SF,6,0
718744,2023-04-02,2023,CIN,PIT,3,1
718741,2023-04-02,2023,MIA,NYM,1,5
718745,2023-04-02,2023,KC,MIN,4,7
718740,2023-04-02,2023,HOU,CWS,3,6
718737,2023-04-02,2023,STL,TOR,9,4
718738,2023-04-02,2023,CHC,MIL,5,9
718734,2023-04-02,2023,OAK,LAA,0,6
718736,2023-04-02,2023,LAD,AZ,1,2
718733,2023-04-02,2023,SD,COL,3,1
718735,2023-04-02,2023,SEA,CLE,5,6
718739,2023-04-02,2023,TEX,PHI,2,1
718731,2023-04-03,2023,MIL,NYM,10,0
718730,2023-04-03,2023,CWS,SF,3,12
718728,2023-04-03,2023,CIN,CHC,7,6
718729,2023-04-03,2023,MIA,MIN,1,11
718732,2023-04-03,2023,WSH,TB,2,6
718725,2023-04-03,2023,NYY,PHI,8,1
718724,2023-04-03,2023,BOS,PIT,6,7
718719,2023-04-03,2023,KC,TOR,9,5
718727,2023-04-03,2023,STL,ATL,4,8
718726,2023-04-03,2023,TEX,BAL,0,2
718723,2023-04-03,2023,HOU,DET,6,7
718721,2023-04-03,2023,OAK,CLE,11,12
718722,2023-04-03,2023,SD,AZ,5,4
718720,2023-04-03,2023,SEA,LAA,3,7
718718,2023-04-03,2023,LAD,COL,13,4
718717,2023-04-04,2023,SD,AZ,6,8
718716,2023-04-04,2023,CIN,CHC,5,12
718714,2023-04-04,2023,MIA,MIN,1,0
718715,2023-04-04,2023,WSH,TB,6,10
718710,2023-04-04,2023,NYY,PHI,1,4
718713,2023-04-04,2023,BOS,PIT,1,4
718708,2023-04-04,2023,KC,TOR,1,4
718712,2023-04-04,2023,MIL,NYM,9,0
718711,2023-04-04,2023,STL,ATL,1,4
718709,2023-04-04,2023,TEX,BAL,2,7
718705,2023-04-04,2023,HOU,DET,3,6
718707,2023-04-04,2023,OAK,CLE,4,3
718706,2023-04-04,2023,SEA,LAA,11,2
718703,2023-04-04,2023,LAD,COL,5,2
718704,2023-04-05,2023,WSH,TB,2,7
718699,2023-04-05,2023,NYY,PHI,4,2
718701,2023-04-05,2023,MIA,MIN,5,2
718697,2023-04-05,2023,STL,ATL,2,5
718702,2023-04-05,2023,BOS,PIT,1,4
718698,2023-04-05,2023,MIL,NYM,7,6
718694,2023-04-05,2023,TEX,BAL,5,2
718696,2023-04-05,2023,HOU,DET,8,2
718695,2023-04-05,2023,CWS,SF,7,3
718689,2023-04-05,2023,OAK,CLE,4,6
718691,2023-04-05,2023,SEA,LAA,3,4
718692,2023-04-05,2023,KC,TOR,0,3
718690,2023-04-06,2023,DET,BOS,3,6
718686,2023-04-06,2023,KC,TOR,3,6
718687,2023-04-06,2023,CWS,SF,6,16
718682,2023-04-06,2023,COL,WSH,1,0
718681,2023-04-06,2023,ATL,SD,7,6
718683,2023-04-06,2023,AZ,LAD,2,5
718693,2023-04-07,2023,NYM,MIA,9,3
718675,2023-04-07,2023,CHC,TEX,2,0
