game_pk,game_time,venue_id,venue_name,away_team_id,away_team_name,away_team_abbr,away_pitcher_id,away_pitcher_name,away_pitcher_hand,home_team_id,home_team_name,home_team_abbr,home_pitcher_id,home_pitcher_name,home_pitcher_hand
823384,2026-05-15T22:40:00Z,31,PNC Park,143,Philadelphia Phillies,PHI,605400,Aaron Nola,R,134,Pittsburgh Pirates,PIT,677952,Braxton Ashcraft,R
822739,2026-05-15T22:45:00Z,3309,Nationals Park,110,Baltimore Orioles,BAL,669358,Shane Baz,R,120,Washington Nationals,WSH,641793,Zack Littell,R
824280,2026-05-15T22:45:00Z,2394,Comerica Park,141,Toronto Blue Jays,TOR,702056,Trey Yesavage,R,116,Detroit Tigers,DET,669724,Brenan Hanifee,R
824439,2026-05-15T23:10:00Z,5,Progressive Field,113,Cincinnati Reds,CIN,671096,Andrew Abbott,R,114,Cleveland Guardians,CLE,676440,Tanner Bibee,R
822983,2026-05-15T23:10:00Z,12,Tropicana Field,146,Miami Marlins,MIA,676083,Janson Junk,R,139,Tampa Bay Rays,TB,693855,Ian Seymour,R
823707,2026-05-15T23:10:00Z,3312,Target Field,158,Milwaukee Brewers,MIL,689441,Coleman Crow,R,142,Minnesota Twins,MIN,657746,Joe Ryan,R
824925,2026-05-15T23:15:00Z,4705,Truist Park,111,Boston Red Sox,BOS,813349,Connelly Early,R,144,Atlanta Braves,ATL,675911,Spencer Strider,R
823629,2026-05-15T23:15:00Z,3289,Citi Field,147,New York Yankees,NYY,693645,Cam Schlittler,R,121,New York Mets,NYM,605280,Clay Holmes,R
824601,2026-05-15T23:40:00Z,4,Rate Field,112,Chicago Cubs,CHC,665795,Edward Cabrera,R,145,Chicago White Sox,CWS,680732,Sean Burke,R
824194,2026-05-16T00:10:00Z,2392,Daikin Park,140,Texas Rangers,TEX,683004,Jack Leiter,R,117,Houston Astros,HOU,681293,Spencer Arrighetti,R
823061,2026-05-16T00:15:00Z,2889,Busch Stadium,118,Kansas City Royals,KC,608379,Michael Wacha,R,138,St. Louis Cardinals,STL,669160,Dustin May,R
824360,2026-05-16T00:40:00Z,19,Coors Field,109,Arizona Diamondbacks,AZ,518876,Merrill Kelly,R,115,Colorado Rockies,COL,607536,Kyle Freeland,R
824037,2026-05-16T01:38:00Z,1,Angel Stadium,119,Los Angeles Dodgers,LAD,694361,Will Klein,R,108,Los Angeles Angels,LAA,686799,Jack Kochanowicz,R
823140,2026-05-16T01:40:00Z,680,T-Mobile Park,135,San Diego Padres,SD,681190,Randy Vásquez,R,136,Seattle Mariners,SEA,676106,Emerson Hancock,R
825009,2026-05-16T01:40:00Z,2529,Sutter Health Park,137,San Francisco Giants,SF,641816,Tyler Mahle,R,133,Athletics,ATH,650644,Aaron Civale,R
