game_id,commence_time,home_team,away_team,bookmaker,market,outcome_name,outcome_price,outcome_point
b707c40c030d32a5c6a52e12bdee39fd,2026-05-14T16:36:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,spreads,Colorado Rockies,-160,5.5
b707c40c030d32a5c6a52e12bdee39fd,2026-05-14T16:36:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,spreads,Pittsburgh Pirates,120,-5.5
b707c40c030d32a5c6a52e12bdee39fd,2026-05-14T16:36:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,totals,Over,-130,11.5
b707c40c030d32a5c6a52e12bdee39fd,2026-05-14T16:36:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,totals,Under,-102,11.5
8abdf6d45a3ff089cc31a3d8ae9454b2,2026-05-14T16:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,spreads,Cincinnati Reds,116,-9.5
8abdf6d45a3ff089cc31a3d8ae9454b2,2026-05-14T16:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,spreads,Washington Nationals,-154,9.5
8abdf6d45a3ff089cc31a3d8ae9454b2,2026-05-14T16:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,totals,Over,116,11.5
8abdf6d45a3ff089cc31a3d8ae9454b2,2026-05-14T16:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,totals,Under,-154,11.5
e24302ea9f75de2f74247cff5426bb72,2026-05-14T17:11:00Z,New York Mets,Detroit Tigers,fanduel,spreads,Detroit Tigers,-340,1.5
e24302ea9f75de2f74247cff5426bb72,2026-05-14T17:11:00Z,New York Mets,Detroit Tigers,fanduel,spreads,New York Mets,235,-1.5
e24302ea9f75de2f74247cff5426bb72,2026-05-14T17:11:00Z,New York Mets,Detroit Tigers,fanduel,totals,Over,-108,9.5
e24302ea9f75de2f74247cff5426bb72,2026-05-14T17:11:00Z,New York Mets,Detroit Tigers,fanduel,totals,Under,-122,9.5
0fd9dcf5dd607b0b9074ed98709c23da,2026-05-14T17:41:00Z,Minnesota Twins,Miami Marlins,fanduel,spreads,Miami Marlins,-136,3.5
0fd9dcf5dd607b0b9074ed98709c23da,2026-05-14T17:41:00Z,Minnesota Twins,Miami Marlins,fanduel,spreads,Minnesota Twins,102,-3.5
0fd9dcf5dd607b0b9074ed98709c23da,2026-05-14T17:41:00Z,Minnesota Twins,Miami Marlins,fanduel,totals,Over,-104,10.5
