Team,OBP,SLG,wRC+,G,PA
ATL,0.329,0.446,106.1,45,1708
LAD,0.341,0.434,107.1,45,1718
TB,0.331,0.382,99.9,43,1638
HOU,0.329,0.416,103.0,46,1760
ATH,0.329,0.408,102.2,44,1691
PIT,0.337,0.395,102.4,45,1785
CHC,0.343,0.404,104.4,45,1773
COL,0.313,0.395,97.9,45,1688
TOR,0.31,0.373,95.1,44,1646
MIL,0.334,0.357,97.9,42,1629
MIA,0.319,0.371,96.6,45,1678
STL,0.324,0.393,99.8,44,1704
DET,0.325,0.387,99.3,45,1695
WSH,0.322,0.407,100.8,45,1742
SF,0.289,0.365,90.5,45,1646
KC,0.318,0.385,97.8,45,1695
AZ,0.302,0.388,95.2,43,1583
MIN,0.324,0.383,98.7,45,1722
NYY,0.33,0.433,104.9,45,1697
PHI,0.301,0.391,95.3,45,1703
BOS,0.313,0.355,93.8,44,1648
CWS,0.324,0.401,100.6,44,1673
SEA,0.321,0.383,98.2,46,1746
BAL,0.315,0.375,96.3,45,1686
TEX,0.311,0.363,94.3,44,1631
CLE,0.323,0.366,96.8,46,1732
LAA,0.317,0.379,97.0,45,1707
CIN,0.311,0.392,97.3,45,1711
NYM,0.291,0.347,89.0,44,1629
SD,0.294,0.363,91.2,44,1614
