Team,OBP,SLG,wRC+,G,PA
ATL,0.334,0.45,107.4,41,1574
LAD,0.344,0.434,107.6,40,1535
HOU,0.333,0.429,105.1,41,1573
TB,0.327,0.373,98.3,39,1473
CHC,0.347,0.417,106.4,41,1621
TOR,0.313,0.381,96.5,40,1498
COL,0.32,0.399,99.6,41,1554
ATH,0.326,0.4,100.8,40,1545
PIT,0.337,0.39,101.8,41,1632
MIA,0.327,0.378,98.8,41,1537
DET,0.325,0.391,99.7,41,1544
WSH,0.323,0.399,100.2,41,1586
SF,0.287,0.362,89.8,40,1455
KC,0.319,0.391,98.6,41,1533
MIL,0.333,0.353,97.3,38,1479
NYY,0.333,0.442,106.4,41,1552
MIN,0.325,0.383,98.9,41,1576
PHI,0.303,0.396,96.2,41,1551
AZ,0.299,0.392,95.1,39,1424
STL,0.318,0.388,98.1,40,1535
BOS,0.314,0.353,93.8,40,1508
TEX,0.316,0.37,95.9,40,1495
LAA,0.321,0.389,98.8,41,1561
BAL,0.319,0.383,97.8,41,1545
CWS,0.322,0.391,99.2,40,1527
CLE,0.321,0.368,96.6,42,1584
SEA,0.319,0.378,97.3,41,1545
SD,0.297,0.37,92.4,40,1470
NYM,0.287,0.341,87.6,40,1474
CIN,0.305,0.381,95.0,41,1542
