home_team_abbr,wind_speed,wind_deg,wind_encoded
DET,12.66,240,-6.33
STL,6.91,130,-4.44
COL,8.05,160,-7.56
WSH,9.22,200,-8.66
PIT,11.5,210,-9.96
TB,11.5,260,-2.0
CLE,10.36,200,-9.74
HOU,20.71,160,-19.46
CWS,5.99,264,-0.63
MIN,11.5,330,9.96
SEA,10.0,331,8.75
ATL,5.75,190,-5.66
NYM,12.66,260,-2.2
LAA,13.8,220,-10.57
ATH,0.0,0,0.0
