Team,OBP,SLG,wRC+,G,PA
ATL,0.329,0.447,106.2,46,1712
LAD,0.341,0.434,107.1,45,1718
TB,0.33,0.38,99.5,44,1681
HOU,0.329,0.419,103.3,47,1765
ATH,0.329,0.408,102.2,44,1691
PIT,0.335,0.392,101.7,46,1817
COL,0.314,0.396,98.2,46,1723
CHC,0.342,0.404,104.2,46,1776
MIA,0.322,0.376,97.6,46,1723
MIL,0.334,0.356,97.8,43,1633
WSH,0.324,0.415,102.0,46,1785
TOR,0.307,0.371,94.4,45,1681
STL,0.323,0.392,99.5,45,1736
DET,0.323,0.384,98.7,46,1733
SF,0.289,0.365,90.5,45,1646
KC,0.318,0.386,97.9,46,1731
AZ,0.304,0.388,95.6,44,1622
MIN,0.324,0.382,98.6,46,1726
PHI,0.303,0.392,95.8,46,1746
NYY,0.33,0.432,104.8,46,1700
BOS,0.313,0.355,93.8,45,1652
CWS,0.325,0.403,101.0,45,1679
SEA,0.321,0.383,98.2,47,1747
BAL,0.315,0.378,96.6,46,1724
CLE,0.323,0.365,96.7,47,1751
TEX,0.31,0.362,94.0,45,1634
LAA,0.317,0.379,97.0,45,1707
CIN,0.311,0.392,97.3,46,1730
NYM,0.291,0.347,89.0,45,1629
SD,0.293,0.362,90.9,45,1617
