Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.87,3.74,0.0966,0.2419,3.02,44
NYY,3.46,3.42,0.0828,0.2391,3.22,44
MIL,3.35,3.35,0.097,0.2652,3.35,41
LAD,3.57,3.54,0.0787,0.2481,3.36,44
TB,4.02,3.94,0.0863,0.2075,3.52,42
SEA,3.7,3.69,0.0677,0.2299,3.62,45
TEX,3.96,3.91,0.0883,0.2297,3.63,43
PIT,3.62,3.63,0.0931,0.2313,3.7,45
NYM,3.55,3.58,0.0923,0.2482,3.75,43
CHC,4.17,4.11,0.0818,0.2243,3.77,44
CLE,3.99,3.96,0.0913,0.2506,3.81,45
BOS,4.2,4.14,0.0862,0.2192,3.83,43
SF,4.22,4.19,0.1028,0.2099,4.0,44
DET,3.86,3.89,0.0939,0.2226,4.06,45
TOR,3.73,3.79,0.0831,0.2377,4.12,44
SD,3.62,3.7,0.0877,0.2346,4.14,43
MIA,3.87,3.92,0.1005,0.2234,4.17,44
CWS,4.42,4.39,0.1062,0.2075,4.22,43
STL,4.49,4.46,0.097,0.188,4.29,43
PHI,3.55,3.67,0.0758,0.245,4.35,45
ATH,4.67,4.62,0.1079,0.2017,4.36,43
KC,4.37,4.38,0.1153,0.2251,4.43,44
AZ,4.35,4.36,0.0861,0.1994,4.43,42
MIN,4.2,4.24,0.0964,0.1976,4.49,44
LAA,4.29,4.33,0.1176,0.2193,4.55,44
BAL,4.37,4.4,0.0972,0.2143,4.59,45
CIN,4.87,4.83,0.1166,0.1973,4.61,44
COL,4.71,4.73,0.0856,0.1943,4.83,44
WSH,5.03,5.03,0.097,0.1889,5.0,45
HOU,5.08,5.16,0.1279,0.2194,5.59,45
