Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.43,3.44,0.0751,0.2598,3.49,162
SEA,3.73,3.69,0.0636,0.2441,3.49,162
CLE,3.97,3.92,0.0831,0.2381,3.61,161
DET,3.7,3.69,0.0697,0.2268,3.61,162
MIL,4.18,4.1,0.0813,0.226,3.65,162
HOU,4.02,3.98,0.0904,0.2458,3.74,161
NYY,4.06,4.01,0.0869,0.2376,3.74,162
KC,3.75,3.75,0.0786,0.2229,3.76,162
TB,4.04,4.0,0.0739,0.2335,3.77,162
CHC,4.04,4.0,0.0804,0.2235,3.78,162
PHI,3.85,3.85,0.0734,0.2369,3.85,162
SD,3.77,3.78,0.0766,0.241,3.86,162
LAD,4.17,4.13,0.0829,0.2299,3.9,162
BAL,3.93,3.93,0.0792,0.2273,3.94,162
NYM,4.04,4.03,0.0961,0.2386,3.96,162
STL,3.95,3.96,0.0751,0.2164,4.04,162
BOS,4.1,4.09,0.0749,0.2199,4.04,162
CIN,4.24,4.22,0.0803,0.2259,4.09,162
SF,3.79,3.84,0.0863,0.2356,4.1,162
PIT,4.03,4.05,0.0836,0.2202,4.15,162
MIN,3.84,3.9,0.0712,0.2468,4.26,162
TOR,4.42,4.4,0.0832,0.2173,4.29,162
WSH,3.93,3.99,0.0774,0.2149,4.3,162
TEX,4.31,4.32,0.0868,0.2245,4.35,162
OAK,4.23,4.25,0.086,0.205,4.37,162
LAA,4.68,4.66,0.0978,0.2037,4.56,162
AZ,4.08,4.16,0.0776,0.2119,4.62,162
CWS,4.55,4.57,0.103,0.2189,4.67,162
MIA,4.44,4.48,0.0887,0.2101,4.73,162
COL,4.93,5.01,0.0891,0.1768,5.47,162
