home_team_abbr,wind_speed,wind_deg,wind_encoded
MIA,13.8,140,-10.57
BAL,1.99,209,-1.74
BOS,11.5,310,7.39
PHI,3.44,80,0.6
TOR,14.97,360,14.97
CIN,5.75,0,5.75
CLE,12.66,10,12.47
CWS,17.27,20,16.23
MIL,11.5,40,8.81
TEX,10.36,10,10.2
SF,4.0,70,1.37
AZ,0.0,0,0.0
SD,6.91,220,-5.29
LAD,6.91,180,-6.91
KC,8.05,220,-6.17
