Team,FIP,xFIP,BB%,K%,ERA,G
ATL,3.88,3.76,0.0969,0.2411,3.06,43
NYY,3.46,3.42,0.0828,0.2391,3.22,44
LAD,3.57,3.54,0.0785,0.2469,3.4,43
MIL,3.37,3.38,0.0968,0.2656,3.42,41
TB,4.02,3.94,0.0863,0.2075,3.49,42
SEA,3.68,3.67,0.0661,0.2301,3.63,45
TEX,3.96,3.91,0.0883,0.2297,3.63,43
PIT,3.62,3.64,0.0929,0.2331,3.74,44
NYM,3.54,3.57,0.0926,0.2469,3.77,43
CLE,3.99,3.96,0.0913,0.2506,3.81,45
CHC,4.24,4.18,0.0829,0.2209,3.86,43
BOS,4.25,4.19,0.0877,0.2157,3.88,42
SF,4.23,4.19,0.1026,0.2088,3.97,43
DET,3.76,3.79,0.0941,0.2248,3.97,44
MIA,3.89,3.92,0.1009,0.2246,4.1,44
SD,3.65,3.72,0.0876,0.2335,4.12,43
TOR,3.72,3.78,0.0826,0.238,4.13,43
CWS,4.45,4.42,0.1074,0.2092,4.27,42
STL,4.46,4.43,0.0975,0.1877,4.29,42
ATH,4.62,4.58,0.1088,0.2043,4.37,42
KC,4.36,4.36,0.1146,0.2255,4.38,43
PHI,3.58,3.71,0.0759,0.2443,4.44,43
AZ,4.34,4.36,0.0861,0.1994,4.5,42
MIN,4.23,4.28,0.0961,0.1971,4.55,44
LAA,4.28,4.32,0.1176,0.2193,4.55,44
BAL,4.37,4.4,0.0973,0.214,4.6,44
CIN,4.89,4.85,0.1167,0.1969,4.62,44
COL,4.75,4.77,0.0862,0.1931,4.87,44
WSH,4.99,4.98,0.0975,0.19,4.91,44
HOU,5.08,5.16,0.1283,0.2211,5.59,45
