Team,OBP,SLG,wRC+,G,PA
HOU,0.339,0.444,107.7,162,6291
TOR,0.33,0.466,108.3,162,6070
BOS,0.328,0.449,106.2,162,6122
WSH,0.337,0.417,104.6,162,6113
CWS,0.336,0.422,104.9,162,6084
CIN,0.328,0.431,104.4,162,6162
SF,0.329,0.44,105.5,162,6196
COL,0.317,0.414,100.6,161,6007
KC,0.306,0.396,96.8,162,5993
LAA,0.31,0.407,98.6,162,6016
LAD,0.33,0.429,104.5,162,6239
ATL,0.319,0.435,103.1,161,6056
STL,0.313,0.412,99.7,162,6001
TB,0.321,0.429,102.9,162,6213
SD,0.321,0.401,100.0,162,6119
DET,0.308,0.399,97.4,162,5979
MIN,0.314,0.423,101.0,162,6078
PHI,0.318,0.408,100.2,162,6089
BAL,0.304,0.402,97.0,162,5983
NYM,0.315,0.391,97.9,162,5856
OAK,0.317,0.406,99.8,162,6104
CLE,0.303,0.407,97.3,162,5907
NYY,0.322,0.407,100.8,162,6060
CHC,0.312,0.407,99.0,162,5972
PIT,0.309,0.364,94.0,162,5983
AZ,0.309,0.382,95.9,162,6144
MIL,0.317,0.396,98.8,162,6099
MIA,0.298,0.372,92.8,162,5929
TEX,0.294,0.375,92.4,162,5943
SEA,0.303,0.385,95.1,162,6010
